Running on 16-08-2020, 23:27
16-08-2020, 23:27 -- WATERBASE -- Current Price: 109.8 -- Crossover: 9&21 on 12-08-2020(94.4) -- Crossover: 9&55 on 12-08-2020(94.4)
16-08-2020, 23:27 -- SPMLINFRA -- Current Price: 9.65 -- Crossover: 9&21 on 11-08-2020(8.45) -- Crossover: 9&55 on 12-08-2020(9.25)
16-08-2020, 23:27 -- ARVIND -- Current Price: 33.3 -- Crossover: 9&21 on 11-08-2020(30.55) -- Crossover: 9&55 on 11-08-2020(30.55)
16-08-2020, 23:27 -- SIS -- Current Price: 372.65 -- Crossover: 9&21 on 10-08-2020(370.55) -- Crossover: 9&55 on 12-08-2020(379.5)
16-08-2020, 23:27 -- HLVLTD -- Current Price: 5.15 -- Crossover: 9&21 on 11-08-2020(5.2) -- Crossover: 9&55 on 10-08-2020(4.9)
16-08-2020, 23:27 -- SHREYANIND -- Current Price: 80.1 -- Crossover: 9&21 on 10-08-2020(77.5) -- Crossover: 9&55 on 12-08-2020(80.35)
16-08-2020, 23:27 -- RICOAUTO -- Current Price: 30.55 -- Crossover: 9&21 on 12-08-2020(29.35) -- Crossover: 9&55 on 13-08-2020(31.45)
16-08-2020, 23:27 -- CINEVISTA -- Current Price: 7.5 -- Crossover: 9&21 on 10-08-2020(6.05) -- Crossover: 9&55 on 11-08-2020(6.65)
16-08-2020, 23:27 -- SPICEJET -- Current Price: 49.3 -- Crossover: 9&21 on 13-08-2020(50.35) -- Crossover: 9&55 on 12-08-2020(49.25)
16-08-2020, 23:27 -- ONEPOINT -- Current Price: 13.55 -- Crossover: 9&21 on 11-08-2020(11.65) -- Crossover: 9&55 on 12-08-2020(13.95)
16-08-2020, 23:27 -- ATULAUTO -- Current Price: 169.85 -- Crossover: 9&21 on 10-08-2020(162.45) -- Crossover: 9&55 on 10-08-2020(162.45)
16-08-2020, 23:27 -- RAYMOND -- Current Price: 267.7 -- Crossover: 9&21 on 10-08-2020(260.45) -- Crossover: 9&55 on 11-08-2020(269.6)
16-08-2020, 23:27 -- TIIL -- Current Price: 239.95 -- Crossover: 9&21 on 13-08-2020(242.45) -- Crossover: 9&55 on 13-08-2020(242.45)
16-08-2020, 23:27 -- PETRONET -- Current Price: 259.95 -- Crossover: 9&21 on 12-08-2020(258.15) -- Crossover: 9&55 on 12-08-2020(258.15)
16-08-2020, 23:27 -- LOVABLE -- Current Price: 62.45 -- Crossover: 9&21 on 11-08-2020(52.3) -- Crossover: 9&55 on 12-08-2020(54.45)
16-08-2020, 23:27 -- OLECTRA -- Current Price: 70.5 -- Crossover: 9&21 on 12-08-2020(62.65) -- Crossover: 9&55 on 13-08-2020(68.9)
16-08-2020, 23:27 -- KNRCON -- Current Price: 214.35 -- Crossover: 9&21 on 12-08-2020(209.15) -- Crossover: 9&55 on 10-08-2020(206.85)
16-08-2020, 23:27 -- MARATHON -- Current Price: 60.7 -- Crossover: 9&21 on 11-08-2020(50.0) -- Crossover: 9&55 on 11-08-2020(50.0)
