"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades"
"ITC","EQ","11-Mar-2020","        177.20","        174.00","        176.75","        172.35","        176.25","        175.65","        174.50","   27957737","          4878568815.10","     179482"
"ITC","EQ","12-Mar-2020","        175.65","        169.00","        169.15","        150.55","        155.80","        155.80","        158.13","   52040944","          8229213336.40","     264894"
"ITC","EQ","13-Mar-2020","        155.80","        150.00","        164.00","        134.60","        163.40","        162.25","        155.29","   61592332","          9564478910.75","     274571"
"ITC","EQ","16-Mar-2020","        162.25","        158.00","        158.10","        145.25","        147.55","        147.25","        150.85","   33255085","          5016491056.90","     215377"
"ITC","EQ","17-Mar-2020","        147.25","        148.00","        155.80","        146.05","        149.15","        149.15","        151.60","   47658462","          7224900485.00","     226554"
"ITC","EQ","18-Mar-2020","        149.15","        152.10","        154.65","        147.35","        151.40","        150.70","        151.05","   50248786","          7590057352.85","     282399"
"ITC","EQ","19-Mar-2020","        150.70","        150.70","        163.55","        144.75","        160.90","        161.85","        154.41","   89753683","         13858883275.85","     386234"
"ITC","EQ","20-Mar-2020","        161.85","        165.10","        176.50","        165.10","        176.35","        175.50","        172.02","   61997991","         10665108502.65","     327341"
"ITC","EQ","23-Mar-2020","        175.50","        158.00","        162.00","        149.20","        155.00","        154.30","        155.40","   51354135","          7980277585.00","     369765"
"ITC","EQ","24-Mar-2020","        154.30","        162.95","        163.70","        147.40","        151.00","        149.70","        151.25","   52569242","          7950911046.10","     348501"
"ITC","EQ","25-Mar-2020","        149.70","        151.00","        152.00","        139.00","        147.05","        147.35","        143.99","   62506221","          9000105590.05","     365896"
"ITC","EQ","26-Mar-2020","        147.35","        150.00","        159.40","        143.25","        156.80","        156.40","        150.86","   58443502","          8816939242.70","     287956"
"ITC","EQ","27-Mar-2020","        156.40","        162.00","        166.00","        155.00","        163.25","        163.20","        160.45","   32636891","          5236588359.75","     209456"
"ITC","EQ","30-Mar-2020","        163.20","        156.05","        164.90","        156.05","        160.15","        159.20","        162.40","   28120394","          4566682077.25","     262288"
"ITC","EQ","31-Mar-2020","        159.20","        164.00","        173.85","        161.55","        169.90","        171.70","        167.53","   42630922","          7141798426.45","     231840"
"ITC","EQ","01-Apr-2020","        171.70","        171.70","        172.75","        164.55","        166.65","        166.40","        167.60","   18142049","          3040521387.35","     180234"
"ITC","EQ","03-Apr-2020","        166.40","        167.90","        182.75","        167.00","        177.50","        177.90","        175.12","   62868085","         11009282014.05","     354482"
"ITC","EQ","07-Apr-2020","        177.90","        185.70","        185.70","        173.65","        181.40","        181.55","        179.45","   36119016","          6481702914.90","     238009"
"ITC","EQ","08-Apr-2020","        181.55","        180.85","        184.00","        176.65","        178.60","        178.65","        179.57","   37561322","          6744718284.15","     263938"
"ITC","EQ","09-Apr-2020","        178.65","        184.00","        186.25","        180.00","        184.85","        185.25","        183.63","   42643743","          7830631145.55","     215510"
"ITC","EQ","13-Apr-2020","        185.25","        184.50","        186.65","        181.05","        181.90","        181.60","        183.42","   17744825","          3254817711.85","     139175"
"ITC","EQ","15-Apr-2020","        181.60","        184.05","        193.75","        182.70","        190.25","        189.35","        189.56","   49092959","          9306140489.75","     337036"
"ITC","EQ","16-Apr-2020","        189.35","        189.65","        191.20","        185.45","        187.10","        186.35","        187.90","   27082646","          5088737088.60","     207231"
"ITC","EQ","17-Apr-2020","        186.35","        190.45","        191.40","        186.95","        188.15","        188.10","        188.89","   26669272","          5037662353.70","     168212"
"ITC","EQ","20-Apr-2020","        188.10","        189.95","        189.95","        179.50","        180.90","        180.70","        181.67","   35767070","          6497897849.00","     271108"
"ITC","EQ","21-Apr-2020","        180.70","        178.00","        184.30","        176.05","        179.50","        179.60","        180.97","   23334550","          4222814177.20","     269274"
"ITC","EQ","22-Apr-2020","        179.60","        179.00","        183.55","        176.00","        182.65","        182.25","        180.97","   25164099","          4553989729.40","     178772"
"ITC","EQ","23-Apr-2020","        182.25","        182.95","        184.00","        179.65","        181.20","        180.55","        181.89","   32968241","          5996601748.60","     234667"
"ITC","EQ","24-Apr-2020","        180.55","        181.00","        182.80","        179.30","        179.85","        180.05","        180.66","   18050148","          3260993060.95","     115014"
"ITC","EQ","27-Apr-2020","        180.05","        180.25","        182.30","        179.30","        180.00","        179.85","        180.83","   13086773","          2366417399.45","      87713"
"ITC","EQ","28-Apr-2020","        179.85","        180.00","        180.80","        178.05","        180.60","        179.45","        179.41","   17802711","          3193970079.00","      81480"
